Student.No,Core,Option,Elective,Registered,Registered.Repeat,Year1,Year2,Year3,Science,BA,Other,Female,Nationality
56,1,0,0,1,0,1,0,0,1,0,0,1,1
57,0,0,1,1,0,1,0,0,0,0,1,0,1
58,0,0,1,1,0,1,0,0,0,0,1,0,1
59,1,0,0,1,0,1,0,0,0,1,0,1,1
60,1,0,0,1,0,1,0,0,1,0,0,0,1
61,0,1,0,1,0,0,0,1,0,0,1,1,1
62,0,1,0,1,0,0,1,0,0,0,1,0,1
63,1,0,0,1,0,1,0,0,0,1,0,0,0
64,0,0,1,1,0,0,0,1,0,0,1,1,1
65,0,0,1,1,0,1,0,0,0,0,1,0,1
66,0,1,0,1,0,0,1,0,0,0,1,0,1
67,1,0,0,1,0,1,0,0,0,1,0,1,0
68,0,0,1,1,0,1,0,0,0,0,1,1,1
69,0,0,1,1,0,0,0,1,0,0,1,0,1
70,1,0,0,1,0,1,0,0,1,0,0,1,1
71,0,0,1,1,0,1,0,0,0,0,1,0,1
72,0,0,1,1,0,0,0,1,0,0,1,0,1
73,0,0,1,1,0,1,0,0,0,0,1,1,1
74,1,0,0,1,0,1,0,0,0,1,0,1,1
75,0,1,0,1,0,0,1,0,0,0,1,0,1
76,1,0,0,1,0,1,0,0,0,1,0,0,0
77,1,0,0,0,1,1,0,0,0,1,0,1,1
78,0,0,1,0,1,0,0,1,0,0,1,0,1
79,1,0,0,1,0,1,0,0,0,1,0,0,0
80,1,0,0,1,0,1,0,0,1,0,0,0,1
81,1,0,0,1,0,1,0,0,0,1,0,1,0
82,1,0,0,1,0,1,0,0,1,0,0,0,1
83,1,0,0,1,0,1,0,0,0,1,0,0,1
84,0,1,0,1,0,0,1,0,0,0,1,0,1
85,1,0,0,1,0,1,0,0,0,1,0,1,1
86,0,0,1,0,1,0,1,0,0,0,1,1,1
87,0,1,0,1,0,1,0,0,0,0,1,1,0
88,1,0,0,1,0,1,0,0,0,1,0,0,1
89,1,0,0,1,0,1,0,0,1,0,0,0,1
90,1,0,0,1,0,1,0,0,1,0,0,1,1
91,1,0,0,1,0,1,0,0,1,0,0,0,1
92,0,0,1,1,0,0,1,0,0,0,1,0,1
93,0,1,0,1,0,1,0,0,0,0,1,0,1
94,1,0,0,1,0,1,0,0,0,1,0,1,1
95,0,0,1,1,0,1,0,0,0,0,1,0,1
96,1,0,0,1,0,1,0,0,0,1,0,0,0
97,0,0,1,0,1,0,0,1,0,0,1,1,1
98,1,0,0,1,0,1,0,0,0,1,0,1,1
99,1,0,0,0,1,1,0,0,0,1,0,0,1
100,1,0,0,1,0,1,0,0,1,0,0,1,0
